Target,Model,Horizon,MAE,RMSE,MAPE(%),SMAPE(%),R2,RMSE($),MAPE_thr(%),RMSE_thr($),Pass
DO 0.001%,iTransformer,5,12.2526,30.4923,8.4075,9.8104,0.205,30.4923,3.0,2.0,False
DO 0.001%,GUMNet-Lite,5,11.9114,23.8026,9.4911,10.5643,0.5155,23.8026,3.0,2.0,False
DO 0.001%,GUMNet-Ultra,5,10.6436,24.5101,7.877,8.4701,0.4863,24.5101,3.0,2.0,False
DO 0.001%,ARIMAX,10,6.1822,15.6432,4.587,4.5257,0.7934,15.6432,5.0,2.0,False
DO 0.001%,SARIMA,10,8.5043,19.2986,6.6333,6.7877,0.6856,19.2986,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,10,6.1661,15.7888,4.6064,4.5207,0.7855,15.7888,5.0,2.0,False
DO 0.001%,Ridge (Linear),10,7.869,17.9425,5.9908,6.3584,0.7229,17.9425,5.0,2.0,False
DO 0.001%,LightGBM,10,12.3348,25.2616,9.6813,10.8521,0.4508,25.2616,5.0,2.0,False
DO 0.001%,LSTM,10,12.2105,28.3793,8.6331,9.8689,0.3143,28.3793,5.0,2.0,False
DO 0.001%,iTransformer,10,15.655,34.1816,11.297,13.3405,0.0052,34.1816,5.0,2.0,False
DO 0.001%,GUMNet-Lite,10,13.2979,29.5363,10.174,11.6625,0.2573,29.5363,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,10,11.8093,25.7394,9.1895,9.889,0.4359,25.7394,5.0,2.0,False
DO 0.001%,ARIMAX,15,8.0346,18.8971,5.8621,5.8406,0.7018,18.8971,5.0,2.0,False
DO 0.001%,SARIMA,15,11.1196,25.1598,8.2634,8.6664,0.4714,25.1598,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,15,8.0178,19.0413,5.8477,5.7955,0.6886,19.0413,5.0,2.0,False
DO 0.001%,Ridge (Linear),15,9.8286,22.5722,7.3713,8.0011,0.5624,22.5722,5.0,2.0,False
DO 0.001%,LightGBM,15,13.2244,28.6855,9.9315,11.3296,0.2933,28.6855,5.0,2.0,False
DO 0.001%,LSTM,15,14.5497,33.5546,10.1942,11.8723,0.0435,33.5546,5.0,2.0,False
DO 0.001%,iTransformer,15,14.2661,33.2363,10.0086,11.6281,0.0615,33.2363,5.0,2.0,False
DO 0.001%,GUMNet-Lite,15,16.1429,33.5769,12.5539,14.7328,0.0422,33.5769,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,15,13.3066,29.0284,10.4004,11.1806,0.2841,29.0284,5.0,2.0,False
DO 0.001%,ARIMAX,20,9.3958,21.5928,6.8389,6.8542,0.6148,21.5928,5.0,2.0,False
DO 0.001%,SARIMA,20,13.4114,30.0799,9.8433,10.4828,0.2525,30.0799,5.0,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,20,9.1731,21.1949,6.7246,6.7368,0.6142,21.1949,5.0,2.0,False
DO 0.001%,Ridge (Linear),20,11.3467,26.3776,8.4599,9.2799,0.4025,26.3776,5.0,2.0,False
DO 0.001%,LightGBM,20,13.1651,31.5113,9.1517,10.6705,0.1473,31.5113,5.0,2.0,False
DO 0.001%,LSTM,20,15.4629,31.9659,11.8088,13.479,0.1355,31.9659,5.0,2.0,False
DO 0.001%,iTransformer,20,17.6049,36.9128,13.2513,14.8072,-0.1527,36.9128,5.0,2.0,False
DO 0.001%,GUMNet-Lite,20,15.1862,35.52,10.6714,12.7465,-0.0674,35.52,5.0,2.0,False
DO 0.001%,GUMNet-Ultra,20,14.5665,33.5723,10.5906,12.2534,0.0465,33.5723,5.0,2.0,False
DO 0.001%,ARIMAX,30,10.0374,22.2404,7.3683,7.7068,0.5999,22.2404,,2.0,False
DO 0.001%,SARIMA,30,15.0507,34.3119,10.9613,12.3308,0.0477,34.3119,,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,30,10.1624,22.3359,7.5391,7.845,0.5725,22.3359,,2.0,False
DO 0.001%,Ridge (Linear),30,14.3135,32.4441,10.6316,11.7284,0.098,32.4441,,2.0,False
DO 0.001%,LightGBM,30,14.2091,34.6563,9.7421,11.5177,-0.0292,34.6563,,2.0,False
DO 0.001%,LSTM,30,17.4918,34.5666,13.8181,15.8994,-0.0087,34.5666,,2.0,False
DO 0.001%,iTransformer,30,19.5887,38.2351,15.3992,16.6534,-0.2342,38.2351,,2.0,False
DO 0.001%,GUMNet-Lite,30,17.7749,37.8653,12.9757,15.6904,-0.2104,37.8653,,2.0,False
DO 0.001%,GUMNet-Ultra,30,15.9586,34.8247,11.6914,13.4026,-0.0238,34.8247,,2.0,False
DO 0.001%,ARIMAX,60,10.482,22.5388,7.7279,8.3715,0.6133,22.5388,,2.0,False
DO 0.001%,SARIMA,60,18.8274,40.556,13.3393,15.879,-0.2521,40.556,,2.0,False
DO 0.001%,Jump-Gated ARIMAX-CatBoost,60,10.2364,21.3841,7.9642,8.4651,0.6107,21.3841,,2.0,False
DO 0.001%,Ridge (Linear),60,16.07,36.6922,11.446,13.3835,-0.1462,36.6922,,2.0,False
DO 0.001%,LightGBM,60,17.4816,38.1615,12.9503,14.8211,-0.2399,38.1615,,2.0,False
DO 0.001%,LSTM,60,25.2922,52.1536,18.7928,24.8188,-1.2664,52.1536,,2.0,False
DO 0.001%,iTransformer,60,25.9943,45.4767,21.7291,23.0331,-0.7233,45.4767,,2.0,False
DO 0.001%,GUMNet-Lite,60,26.3621,46.0762,21.2177,26.2303,-0.769,46.0762,,2.0,False
DO 0.001%,GUMNet-Ultra,60,19.6955,38.7223,15.2047,17.1534,-0.2494,38.7223,,2.0,False
DO 0.05%,ARIMAX,1,1.6934,4.7949,1.2843,1.2793,0.9778,4.7949,3.0,2.0,False
DO 0.05%,SARIMA,1,2.2844,5.6634,1.8338,1.8351,0.969,5.6634,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,1,1.7946,5.3053,1.3048,1.3049,0.9727,5.3053,3.0,2.0,False
DO 0.05%,Ridge (Linear),1,2.2517,5.8642,1.7653,1.7904,0.9667,5.8642,3.0,2.0,False
DO 0.05%,LightGBM,1,4.4837,13.5853,3.0511,3.2542,0.8211,13.5853,3.0,2.0,False
DO 0.05%,LSTM,1,8.5762,22.2001,5.8868,6.5977,0.5252,22.2001,3.0,2.0,False
DO 0.05%,iTransformer,1,10.6607,27.9758,7.4195,8.6055,0.2461,27.9758,3.0,2.0,False
DO 0.05%,GUMNet-Lite,1,8.3579,20.695,6.0403,6.5016,0.5874,20.695,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,1,8.0915,17.8672,6.1957,6.3391,0.6925,17.8672,3.0,2.0,False
DO 0.05%,ARIMAX,5,4.0998,11.3229,3.1334,3.0796,0.877,11.3229,3.0,2.0,False
DO 0.05%,SARIMA,5,5.6198,13.1982,4.5384,4.5665,0.8329,13.1982,3.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,5,4.0538,11.2489,3.1046,3.0508,0.8776,11.2489,3.0,2.0,False
DO 0.05%,Ridge (Linear),5,5.7747,13.0972,4.4678,4.6405,0.834,13.0972,3.0,2.0,False
DO 0.05%,LightGBM,5,8.2027,18.2378,6.5096,7.0553,0.6782,18.2378,3.0,2.0,False
DO 0.05%,LSTM,5,11.8632,27.6668,8.6735,9.9122,0.2642,27.6668,3.0,2.0,False
DO 0.05%,iTransformer,5,11.8138,28.9982,8.4855,9.7845,0.1917,28.9982,3.0,2.0,False
DO 0.05%,GUMNet-Lite,5,12.5768,26.9728,9.7636,11.0635,0.3007,26.9728,3.0,2.0,False
DO 0.05%,GUMNet-Ultra,5,9.3455,23.6887,6.9104,7.6174,0.4606,23.6887,3.0,2.0,False
DO 0.05%,ARIMAX,10,6.108,16.0825,4.6379,4.4914,0.7545,16.0825,5.0,2.0,False
DO 0.05%,SARIMA,10,8.6226,19.9931,6.7766,6.8889,0.6207,19.9931,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,10,6.2105,16.3458,4.775,4.6052,0.7415,16.3458,5.0,2.0,False
DO 0.05%,Ridge (Linear),10,7.6422,17.944,5.9017,6.2264,0.6885,17.944,5.0,2.0,False
DO 0.05%,LightGBM,10,12.3378,23.4844,10.3288,11.4868,0.4664,23.4844,5.0,2.0,False
DO 0.05%,LSTM,10,13.1768,28.3905,10.0217,11.432,0.2286,28.3905,5.0,2.0,False
DO 0.05%,iTransformer,10,13.7217,31.3782,10.017,11.5684,0.0577,31.3782,5.0,2.0,False
DO 0.05%,GUMNet-Lite,10,13.4092,26.8075,11.036,11.4497,0.3122,26.8075,5.0,2.0,False
DO 0.05%,GUMNet-Ultra,10,11.804,27.8896,8.8371,9.9246,0.2556,27.8896,5.0,2.0,False
DO 0.05%,ARIMAX,15,7.9012,19.131,5.9014,5.7481,0.6564,19.131,5.0,2.0,False
DO 0.05%,SARIMA,15,11.1626,25.8243,8.3728,8.7136,0.374,25.8243,5.0,2.0,False
DO 0.05%,Jump-Gated ARIMAX-CatBoost,15,7.948,19.3145,5.9709,5.7878,0.6399,19.3145,5.0,2.0,False
